,video,video_condition,im_condition,pred_val,word_start,word_end,resp_exp_fear,rt_exp_fear,resp_current_anxiety,rt_current_anxiety,video_start,video_end,resp_fear,resp_anxiety,resp_arousal,resp_valence,rt_fear,rt_anxiety,rt_arousal,rt_valence,participant_num,video_hp,video_scr,base_ECG,base_scr,trial_num,Unnamed: 26
2418,heights_low_5.m4v,1,1,2,439.921,442.922,0.526,3.471,0.44,1.435,456.573,476.565,0.056,0.051,0.246,0.988,2.003,1.986,2.069,1.719,186,0.74,0,0.646,0.066,9,
2419,heights_low_6.m4v,1,1,1,493.831,496.831,0.344,1.902,0.343,1.202,508.681,526.704,0.297,0.267,0.55,0.797,2.069,1.068,5.523,1.953,186,0.709,0,0.646,0.066,10,
2420,spider_low_4.m4v,3,1,2,546.823,549.824,0.583,2.47,0.357,1.669,557.701,578.21,0.349,0.321,0.64,0.361,2.153,1.368,2.403,2.002,186,0.588,0,0.646,0.066,11,
2421,spider_high_5.m4v,3,2,1,595.627,598.627,0.389,1.185,0.423,1.068,604.62,625.113,0.603,0.602,0.686,0.364,2.419,1.268,1.302,1.035,186,,0,0.646,0.066,12,
2422,spider_low_2.mov,3,1,2,725.521,728.521,0.434,11.163,0.387,1.952,747.378,767.919,0.224,0.177,0.29,0.789,2.119,0.901,1.302,1.268,186,0.699,0,0.646,0.066,13,
2423,spider_high_3.mov,3,2,1,783.018,786.018,0.396,2.82,0.372,0.784,794.364,814.503,0.634,0.641,0.379,0.262,2.37,0.951,0.918,1.986,186,0.813,0,0.646,0.066,14,
2424,spider_low_5.mov,3,1,1,830.22,833.22,0.408,1.619,0.527,2.086,840.665,860.988,0.319,0.331,0.638,0.424,2.053,0.868,0.684,1.802,186,0.689,0.215,0.646,0.066,15,
2425,social_high_1.mov,2,2,2,875.904,878.905,0.394,1.735,0.444,1.135,887.517,907.59,0.403,0.41,0.699,0.796,2.119,1.368,1.068,1.335,186,0.757,0,0.646,0.066,16,
2426,spider_high_2.m4v,3,2,2,922.973,925.973,0.368,2.47,0.393,2.286,934.469,954.528,0.581,0.598,0.589,0.336,2.953,0.985,1.385,1.402,186,0.639,0,0.646,0.066,17,
2427,heights_low_2.m4v,1,1,2,970.759,973.76,0.442,2.119,0.469,1.035,985.659,1005.668,0.022,0.026,0.227,0.984,3.02,1.585,2.019,1.368,186,0.743,0,0.646,0.066,18,
2428,heights_high_6.mov,1,2,1,1023.151,1026.151,0.345,3.721,0.349,1.469,1040.086,1060.593,0.663,0.631,0.658,0.554,1.936,0.818,0.834,2.52,186,0.741,0.105,0.646,0.066,19,
2429,social_low_5.m4v,2,1,2,1076.193,1079.193,0.415,2.22,0.425,0.734,1086.888,1106.88,0.128,0.184,0.368,0.771,1.535,1.018,1.385,1.235,186,,0.111,0.646,0.066,20,
2430,social_high_4_replacement.mov,2,2,1,1121.543,1124.543,0.398,2.503,0.382,0.901,1131.687,1151.994,0.642,0.677,0.572,0.314,3.254,1.018,3.521,1.101,186,0.648,0,0.646,0.066,21,
2431,social_low_4.m4v,2,1,1,1170.381,1173.381,0.351,2.92,0.399,0.918,1180.959,1201.702,0.377,0.36,0.383,0.68,2.436,1.335,1.952,1.251,186,0.72,0,0.646,0.066,22,
2432,heights_high_5.mov,1,2,2,1218.167,1221.167,0.408,1.702,0.376,0.734,1232.349,1252.355,0.638,0.663,0.666,0.382,2.72,0.734,1.485,3.688,186,0.718,0.111,0.646,0.066,23,
2433,heights_low_3.mov,1,1,1,1270.475,1273.475,0.343,1.218,0.404,0.851,1284.29,1302.794,0.164,0.193,0.379,0.831,3.821,1.485,1.502,0.801,186,0.738,0,0.646,0.066,24,
2434,social_high_2.mov,2,2,2,1392.377,1395.377,0.32,1.468,0.359,4.805,1406.392,1427.349,0.704,0.67,0.345,0.259,2.103,1.185,1.719,1.518,186,0.75,0,0.646,0.066,25,
2435,social_high_5.m4v,2,2,1,1443.366,1446.366,0.335,4.205,0.371,3.204,1457.516,1477.506,0.292,0.3,0.584,0.724,2.453,6.207,1.285,1.468,186,0.721,0,0.646,0.066,26,
2436,social_low_2.mov,2,1,1,1498.411,1501.411,0.379,3.755,0.391,1.752,1510.658,1532.001,0.456,0.589,0.421,0.474,2.72,1.952,1.719,1.886,186,0.736,0,0.646,0.066,27,
2437,spider_low_6.m4v,3,1,2,1549.768,1552.768,0.391,1.902,0.424,4.305,1562.715,1583.224,0.549,0.559,0.562,0.39,2.837,0.935,0.717,1.602,186,0.63,0,0.646,0.066,28,
2438,spider_high_6.mov,3,2,1,1598.805,1601.806,0.449,3.204,0.472,0.834,1611.586,1631.209,0.633,0.61,0.625,0.375,2.57,1.085,0.918,0.884,186,0.703,0.116,0.646,0.066,29,
2439,heights_high_4.m4v,1,2,2,1646.158,1649.158,0.58,2.269,0.443,1.285,1661.458,1681.767,0.574,0.602,0.554,0.438,2.336,1.252,1.402,2.32,186,0.665,0.107,0.646,0.066,30,
2440,heights_high_2.mov,1,2,1,1698.566,1701.566,0.356,1.769,0.41,2.853,1714.934,1735.808,0.471,0.453,0.447,0.522,1.418,0.718,1.335,2.987,186,0.593,0.101,0.646,0.066,31,
2441,heights_low_1.m4v,1,1,1,1751.758,1754.758,0.406,3.387,0.411,0.784,1767.676,1788.686,0.064,0.063,0.239,0.695,2.353,2.52,1.268,0.634,186,0.715,0.1,0.646,0.066,32,
2442,spider_low_3.m4v,3,1,2,1804.951,1807.951,0.369,2.603,0.394,2.503,1817.798,1838.44,0.39,0.405,0.636,0.613,2.119,1.118,0.734,1.936,186,0.708,0,0.646,0.066,33,
2443,spider_high_4.m4v,3,2,1,1853.838,1856.838,0.36,4.272,0.445,1.852,1866.702,1887.178,0.385,0.365,0.576,0.375,2.737,1.068,0.534,0.768,186,0.714,0,0.646,0.066,34,
2444,social_low_1.m4v,2,1,2,1901.774,1904.775,0.343,7.709,0.417,0.751,1918.977,1939.803,0.024,0.047,0.563,0.916,1.969,2.37,4.889,2.169,186,0.714,0,0.646,0.066,35,
2445,heights_low_4.m4v,1,1,2,1960.69,1963.69,0.438,1.935,0.366,4.238,1978.61,1999.636,0.045,0.073,0.682,0.956,1.669,1.201,0.834,0.868,186,0.701,0.1,0.646,0.066,36,
2446,social_high_3.mov,2,2,2,10.061,13.086,0.651,3.921,0.602,3.938,26.731,47.12,0.636,0.65,0.313,0.301,3.521,2.57,3.338,3.421,187,0.697,0,0.687,,1,
2447,spider_high_4.m4v,3,2,2,69.494,72.494,0.316,2.353,0.316,1.869,80.473,100.949,0.322,0.325,0.252,0.628,4.372,2.82,4.772,2.57,187,0.75,0,0.687,,2,
2448,spider_low_2.mov,3,1,1,124.989,127.989,0.319,2.37,0.301,0.985,136.101,156.658,0.219,0.257,0.272,0.741,2.753,1.452,1.886,2.169,187,0.703,0,0.687,,3,
2449,spider_high_3.mov,3,2,1,174.427,177.427,0.299,1.819,0.282,1.935,184.922,205.062,0.574,0.414,0.302,0.432,6.207,1.035,2.62,4.021,187,0.745,0,0.687,,4,
2450,heights_high_5.mov,1,2,2,228.453,231.455,0.643,3.437,0.598,1.669,245.306,265.33,0.665,0.656,0.531,0.259,1.936,1.769,7.308,2.019,187,0.687,0,0.687,,5,
2451,social_high_2.mov,2,2,2,287.869,290.869,0.604,3.137,0.572,1.435,300.183,321.159,0.578,0.629,0.404,0.328,4.756,1.452,1.635,14.833,187,0.687,0.1,0.687,,6,
2452,social_low_2.mov,2,1,1,353.325,356.325,0.577,5.54,0.572,1.335,366.94,388.284,0.539,0.651,0.559,0.352,22.392,1.819,4.422,2.837,187,0.644,0,0.687,,7,
2453,social_low_1.m4v,2,1,1,429.242,432.243,0.635,4.672,0.597,2.036,442.674,463.5,0.364,0.397,0.291,0.636,1.986,2.57,2.136,2.87,187,0.645,0,0.687,,8,
2454,spider_low_4.m4v,3,1,2,482.551,485.554,0.338,2.787,0.35,1.085,495.165,515.674,0.278,0.334,0.534,0.745,2.486,1.185,4.805,1.785,187,0.699,0,0.687,,9,
2455,heights_low_4.m4v,1,1,2,535.427,538.427,0.646,6.374,0.602,2.87,556.417,577.443,0.544,0.63,0.403,0.447,2.086,5.673,3.754,3.02,187,0.618,0.1,0.687,,10,
2456,heights_low_1.m4v,1,1,1,601.467,604.467,0.594,2.703,0.596,3.27,619.186,640.196,0.584,0.565,0.408,0.481,3.187,6.574,1.902,4.922,187,0.695,0.2,0.687,,11,
